      n,bubblesort,insertionsort,mergesort,quicksort,selectionsort,
100,134500,4500,59300,3900,77600,
200,580800,5600,120900,2900,302900,
300,1240700,41200,52000,1100,1729400,
400,301100,10600,46400,900,248900,
500,454000,14400,51100,800,349300,
600,514500,16300,60500,1100,524600,
700,428200,18000,71300,800,723200,
800,539400,21600,79600,800,935300,
900,658700,24300,89200,900,1137100,
1000,785900,26600,99400,1000,1387000,
1100,928300,29600,113300,800,1812800,
1200,1128000,32700,132300,1100,2176000,
1300,1285500,34300,129600,1000,2355500,
1400,1437900,36900,141700,900,2795800,
1500,2931100,67300,193200,1800,1297900,
1600,3430200,231500,166400,1400,1249500,
1700,3225600,63300,174700,1300,933700,
1800,3221300,59400,156600,1100,908100,
1900,3452100,199900,152300,1000,894900,
2000,3367700,58200,172900,1000,992100,
2100,3726900,61700,174800,1000,1093100,
2200,4237700,65600,181000,1100,1197700,
2300,8938600,68500,196300,1000,1255100,
2400,4475400,63400,186500,1100,1276400,
2500,4782500,64400,205800,1400,1347800,
2600,5332500,68000,211800,1000,1457500,
2700,5493600,68900,190800,800,1608500,
2800,6336600,72600,202800,1100,1724500,
2900,6485700,74100,239100,1100,1810600,
3000,7061300,78300,220200,1000,1937200,
3100,7560800,78800,213400,900,2065000,
3200,7945900,82200,225400,1000,2200500,
3300,8521800,85000,239500,1000,2336700,
3400,9058500,432700,311800,1000,3091200,
3500,10448300,154000,517300,3800,2788300,
3600,11039500,52500,353700,1400,3609100,
3700,10830600,14400,294300,1600,3951700,
3800,11601000,20200,264300,1600,3477500,
3900,12222000,89100,476400,3400,3856400,
4000,13167000,20200,293600,1300,3529300,
4100,14057700,16000,471100,1300,3606100,
4200,14222500,22600,381100,1500,3822700,
4300,15627800,17600,381200,2000,4090600,
4400,16058600,23800,320500,1900,4163600,
4500,16933000,17300,330600,1500,4335900,
4600,19922200,33900,532000,2400,5459900,
4700,18486500,72600,328700,2100,4878500,
4800,20024600,2000,352400,1600,5052700,
4900,19809400,1800,341100,1600,5478200,
5000,21925300,1700,360300,1700,5504500,
5100,22195900,1800,354800,1800,5563800,
5200,23232900,1800,407200,1500,5788100,
5300,24122800,2000,373500,1500,6096000,
5400,25456600,2300,462700,1800,7057700,
5500,26662500,1700,385300,1800,6556800,
5600,26605900,1900,404100,1700,6791200,
5700,27974300,1600,587600,3400,6950400,
5800,29470600,1800,409000,3300,7195200,
